,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
model06_0,2.1542248140270988,2.2583955394033257,2.3075469351317226,2.352957165719461,2.4036164668430953,2.463475662545186,2.544483224630253,2.6155468675252584,2.695823481970578,2.7847788209525497,2.898124922252903,2.9943811197630046,3.0905577050531687,3.209797514206021,3.325570191062843,3.4246699218422454,3.5124604083554227,3.6001966089999233,3.6539818843946623,3.6668381319632917,3.6450859055052693,3.578382767085912,3.4836409894107745,3.3870801498707723
model06_1,2.1370379705212583,2.2440895727608177,2.2945329419425198,2.341099867338579,2.393010929490018,2.4543031745900676,2.5371881178375517,2.6098624923683413,2.691952386690167,2.7829661216152277,2.899150217249068,2.9981987052228893,3.097800613873144,3.2228621411150975,3.3474045377780053,3.458791658417272,3.565001532691251,3.6885043725820017,3.7963679743139775,3.874605466048186,3.927412919448267,3.9548847011497017,3.944783674482145,3.916319569008163
model06_2,2.1365349168081478,2.242997163785028,2.2931432485253076,2.339421737307566,2.390992808020581,2.4518542336813187,2.5340948700856343,2.606131118220882,2.68739342193672,2.7773126007355446,2.891708689294776,2.9887109170987585,3.085502242721611,3.205308782009772,3.321371732416875,3.420414614605753,3.507747803496421,3.5942137287413405,3.6459286137356615,3.6564561450801456,3.632443877668016,3.563615171262271,3.4678821911117272,3.37142948636456
model06_3,2.1369107200342903,2.2434303672835543,2.293605730037214,2.3399128111982535,2.391517787395473,2.4524224292996855,2.534728057750413,2.6068288874344434,2.6881749489065987,2.77820444036571,2.892778680152504,2.989981049257131,3.0870409644942933,3.2073334321683364,3.324147272981955,3.424230487428964,3.5130633714545665,3.602218979409336,3.6574818764147112,3.671551114046313,3.650659447345846,3.5843467150916424,3.4891733705386945,3.391558190195254
model06_4,2.137663263376435,2.244098369815738,2.29423762506084,2.34051358188581,2.3920863624605992,2.4529563400112786,2.5352207077540956,2.607290490467536,2.688607048356267,2.778610572461905,2.893162012373609,2.9903546419452183,3.0874149798565567,3.2077259112452046,3.3245850402070176,3.4247414294045555,3.5136851131457063,3.6030394771200647,3.6585537528086713,3.672851320383069,3.652120734034921,3.5858371817434502,3.490452299209842,3.3924359678472626
model06_5,2.1401250733389645,2.246250925769263,2.2962563091767043,2.3424156248741266,2.393866159004936,2.454602077966617,2.5367020257151376,2.6086425767707038,2.689828622282516,2.77970498084003,2.894118232386777,2.991212404102993,3.0881903340519115,3.208420564807545,3.32522545342181,3.4253584101291645,3.5143064574083165,3.6037064010836515,3.659300967240134,3.673675139136243,3.6529870490446887,3.5866625645041554,3.491102311409559,3.392812742534117
model06_6,2.142386545664669,2.2482609739952095,2.2981587872799802,2.3442252724720416,2.3955796678730894,2.456211940212293,2.5381883415002524,2.6100358509679893,2.6911335708259054,2.7809326909412584,2.8952801458444934,2.9923505191726605,3.08934080568283,3.2096552458535568,3.3266557946263466,3.4271106513530913,3.5165645187940138,3.6069244969689276,3.663838944590702,3.679573957737575,3.66012294868758,3.5948478596362357,3.499600797961367,3.4009475648049268
model06_7,2.1471474581723706,2.252332710340501,2.301928841167349,2.3477302184241573,2.3988039482699923,2.459124215709887,2.5407097833605286,2.6122411551815046,2.6930076649140546,2.782466120662483,2.8964082001162876,2.993147107174174,3.0898030755429073,3.2096686754124084,3.326142925372061,3.4259991088581274,3.5146950334395797,3.6038162005036622,3.6591903953933205,3.6734350915672866,3.6526928372712395,3.5863855148766453,3.4908986057670695,3.3926947502838147
model06_8,2.1567924068577238,2.260441903578068,2.3093577498076963,2.354555944431539,2.4049843971262863,2.464577316726619,2.545232368129857,2.6159898232560916,2.6959172100444873,2.784470114282374,2.8972518340243956,2.9929449486069735,3.0884261176559997,3.206486799208937,3.3205130823821154,3.4172435853237917,3.5016528033310013,3.5833583848384802,3.6292000598022054,3.634065840802249,3.6050525180967314,3.5317316320484218,3.4335883261990747,3.3362950886287988
model06_9,2.194511259120867,2.2888329332415163,2.333388592772549,2.3745589067959108,2.4204666347222528,2.474628938478859,2.547638636228985,2.6112114824012185,2.682155937568472,2.759090407670657,2.8530062931336864,2.9270345400046347,2.99289760503375,3.057632108155139,3.0941568156574273,3.096510231614111,3.0682564520462234,2.99548079463172,2.892371379843591,2.7825985348461657,2.6667146024415036,2.51934927513762,2.3742676442909314,2.2475750667801573
