,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
model02_0,28.68138352219745,23.46891836987342,22.560662457531656,22.46245234428409,23.120150643090007,24.857037180232982,28.68110660676712,33.1688540674011,39.03170547366474,45.710761553082826,53.092243627154076,57.48380490237298,59.822843975954136,59.92817035387011,57.44592667150115,53.836626935988264,50.08324370564231,46.47662401197527,44.669461551525025,44.28394585230084,44.49516326014855,44.88916348717363,45.08413189303483,45.113838112556415
model02_1,30.36014205911229,26.924325314925916,26.926454592707845,27.681116455163473,29.25921392350987,31.94165670993874,36.509396270780414,40.807398423575876,45.22411948028293,48.80416988441143,50.74833789151302,50.28242710948506,48.59480885305197,46.174914814484836,44.70138930711436,44.41944550849492,44.65607919221271,44.95120880144627,45.02227326474921,45.00873155990632,44.999872903461174,44.99973307569854,45.00002113056827,45.000000005094805
model02_2,30.091170133673224,26.10386729063991,25.829305860306924,26.3409628695168,27.684018331726826,30.177125237053474,34.734018555491765,39.33272262200158,44.455135958915726,49.157852141257386,52.685145180226755,53.301954473857634,52.09614573686877,49.16525500445463,46.30002901495744,44.79410904706519,44.43705674557168,44.797186842772355,45.17322206638378,45.30038698645433,45.33415053642217,45.38150012498187,45.45056791215898,45.52134252553633
model02_3,30.280901892689627,26.314925029635525,26.032000773249994,26.527659026114797,27.843836055426667,30.29270254403248,34.7679049505182,39.27593109902789,44.280118586612254,48.84246495951216,52.197294402153126,52.699393368498576,51.44429413218411,48.592590177253484,45.94946973370169,44.6709379485256,44.459171468461655,44.85333563430412,45.187008135684934,45.283218967760426,45.30620889841112,45.351112114140086,45.4159084231754,45.48102201690922
model02_4,28.462899795394843,26.195177670492708,27.0458051094493,28.670568749496603,31.250984078264697,35.04816147332536,40.75151952276567,45.496045339439284,49.75905608236146,52.56303330019497,53.129018466714896,51.551362150001935,49.03616531477555,46.091061814327276,44.5481425982823,44.39401611966688,44.774597426789896,45.1670594210455,45.26810581658642,45.28421825490354,45.319104727235384,45.38125575983487,45.450929313116106,45.52132792253257
model02_5,29.00768329809333,26.23217931287385,26.74703550946617,28.039364289827162,30.252260822526097,33.66836688088063,39.04930670702593,43.75816486133904,48.24400755089618,51.50539340504471,52.736958648058284,51.62346705194759,49.375983662731294,46.463050021483106,44.745514641144915,44.42424219138286,44.72554022766087,45.12733342073454,45.264367390682786,45.28881473308278,45.320049075745885,45.38100703333684,45.4509470924222,45.52132777929817
model02_6,29.35041275957626,25.495740537246625,25.366749190035108,26.042135215730237,27.5919299175061,30.349001925260207,35.26363827427588,40.13775788679136,45.492061835170354,50.34635539754882,53.950293025082445,54.56620943336101,53.29364037765339,50.142305341626916,46.90524181188813,45.02993551746046,44.40762694737715,44.6614109892003,45.09832948891883,45.29124887738101,45.343228319296145,45.38308623724971,45.45016919283358,45.521344514641186
model02_7,31.04804686530711,25.99195781221135,24.97470085866921,24.72029598258197,25.157771782872878,26.581663614506148,29.891249090849957,33.831985147109656,38.96025351244309,44.68651474229554,50.6797739377116,53.78442628439808,54.81529780030018,53.533042454466674,50.5065010875618,47.58759058458355,45.54700774754953,44.56913418167522,44.717995518306104,45.09125744619484,45.33736404736012,45.45274872604435,45.511186468333655,45.580930970095764
model02_8,28.8942665324212,22.901363694584703,21.47823520340355,20.837251817472293,20.82230682240896,21.692467136008744,24.297175076345845,27.81174840908017,32.92580211213072,39.507979864628645,48.073624893935225,54.3889620153267,59.11295668307424,62.37690665906774,62.75389332939336,60.95445502134471,57.769349305769495,53.03209945667797,48.833602268355975,46.2140974937745,44.8282288930579,44.33093577658878,44.5160458688818,44.80642443188616
model02_9,32.1073929760623,25.445519297674032,23.240208062724324,21.697043848394152,20.507528736989492,19.79259463359647,19.96815762713653,21.17237035223811,23.678982941207586,27.79326515946471,34.71226029494673,41.42792668083962,48.07412061918691,55.05920233398262,59.61574306798605,61.40511812302662,61.17563340359187,58.825965327522304,55.28244320199312,51.92535612906873,49.043817669151444,46.48632118853551,45.15179103924969,44.75464512108374
